40	T-Goose	636	322,14	363,9	54	2,756	7	2,756	8,27	24,8	892,5	326,2	1218,7	73,2	26,8	10583	10297	0,0914	0,1147	0,1227	0,1351	0,1417	0,01004	0,347	0,2096	855	1029	1144	1261
41	T-Flamigo	666,6	337,91	381,69	24	4,234	7	2,822	8,47	25,4	936,2	342	1278,2	73,2	26,8	10773	10473	0,0872	0,1079	0,1166	0,1246	0,1334	0,0102	0,3458	0,2084	887	1062	1199	1308
42	T-Gannet	666,6	337,76	392,73	26	4,067	7	3,162	9,49	25,75	935,8	429,4	1365,2	68,5	31,5	11958	11581	0,0872	0,1079	0,1166	0,1246	0,1334	0,01045	0,344	0,2078	890	1066	1204	1313
43	T-Stilt	715,5	362,78	409,77	24	4,387	7	2,924	8,77	26,32	1005,1	367,1	1372,2	73,2	26,8	11566	11244	0,0812	0,1019	0,1101	0,1182	0,126	0,01057	0,3431	0,2067	921	1103	1243	1359
44	T-Starling	715,5	362,62	421,66	26	4,214	7	3,277	9,83	26,69	1004,7	461,2	1465,8	68,5	31,5	12841	12436	0,0812	0,1019	0,1101	0,1182	0,126	0,01083	0,3413	0,2061	925	1107	1248	1364
45	T-Redwing	715,5	362,43	444,98	30	3,922	19	2,352	11,76	27,45	1006,6	646,1	1652,7	60,9	39,1	15692	15144	0,0815	0,1022	0,1104	0,1184	0,1263	0,01134	0,3378	0,2047	930	1114	1256	1373
46	T-Coot	795	402,71	413,9	36	3,774	1	3,774	3,77	26,42	1110,3	87,1	1197,4	92,7	7,3	7597	7520	0,0728	0,0926	0,1001	0,1069	0,1145	0,01092	0,3407	0,2065	967	1158	1309	1427
47	T-Cuckoo	795	402,86	455,05	24	4,623	7	3,081	9,24	27,74	1116,2	407,7	1523,8	73,2	26,8	12639	12281	0,0731	0,0926	0,1001	0,1069	0,1145	0,01114	0,3391	0,2042	980	1173	1326	1447
48	T-Drake	795	402,92	468,51	26	4,442	7	3,454	10,36	28,13	1116,3	512,3	1628,7	68,5	31,5	14266	13817	0,0731	0,0926	0,1001	0,1069	0,1145	0,01142	0,3373	0,2035	983	1178	1331	1452
49	T-Mallard	795	402,87	494,8	30	4,135	19	2,482	12,41	28,95	1118,9	719,5	1838,4	60,9	39,1	17463	16852	0,0733	0,0929	0,1003	0,1072	0,1148	0,01196	0,3338	0,2022	989	1185	1340	1462
50	T-Tern	795	402,82	430,65	45	3,376	7	2,25	6,75	27,01	1116	217,4	1333,4	83,7	16,3	9998	9808	0,0731	0,0926	0,1001	0,1069	0,1145	0,01072	0,3421	0,2055	973	1165	1317	1436
51	T-Condor	795	402,59	454,78	54	3,081	7	3,081	9,24	27,73	1115,4	407,7	1523,1	73,2	26,8	12761	12403	0,0732	0,0926	0,1001	0,1069	0,1145	0,01123	0,3386	0,2042	980	1173	1326	1447
52	T-Ruddy	900	456,01	487,55	45	3,592	7	2,395	7,19	28,74	1263,4	246,4	1509,8	83,7	16,3	11103	10887	0,0646	0,0835	0,0885	0,0953	0,1012	0,01141	0,3374	0,2025	1041	1260	1418	1554
53	T-Canary	900	456	515,11	54	3,279	7	3,279	9,84	29,51	1263,4	461,7	1725,1	73,2	26,8	14453	14048	0,0646	0,0834	0,0884	0,0953	0,1011	0,01195	0,3339	0,2013	1049	1269	1428	1566
54	T-Rail	954	483,32	516,75	45	3,698	7	2,466	7,4	29,59	1339,1	261,1	1600,2	83,7	16,3	11769	11540	0,0609	0,0787	0,085	0,0896	0,0963	0,01174	0,3352	0,2011	1081	1295	1474	1606
55	T-Cardinal	954	483,38	546,04	54	3,376	7	3,376	10,13	30,38	1339,2	489,4	1828,7	73,2	26,8	15321	14892	0,0609	0,0787	0,085	0,0896	0,0963	0,0123	0,3317	0,1999	1088	1305	1485	1618
56	T-Ortolan	1033,5	523,33	559,5	45	3,848	7	2,565	7,7	30,78	1449,9	282,5	1732,5	83,7	16,3	12545	12297	0,0563	0,0726	0,0785	0,0838	0,0889	0,01222	0,3322	0,1992	1137	1362	1541	1690
57	T-Curlew	1033,5	523,41	591,26	54	3,513	7	3,513	10,54	31,62	1450,1	530	1980,1	73,2	26,8	16590	16125	0,0563	0,0726	0,0785	0,0838	0,0889	0,0128	0,3287	0,198	1145	1372	1552	1703
58	T-Bluejay	1113	564,07	603,09	45	3,995	7	2,664	7,99	31,96	1562,8	304,8	1867,6	83,7	16,3	13526	13258	0,0522	0,0674	0,0729	0,0787	0,0842	0,01269	0,3293	0,1975	1191	1428	1607	1755
59	T-Finch	1113	564,1	635,6	54	3,647	19	2,189	10,95	32,83	1570,5	559,6	2130,1	73,7	26,3	17730	17255	0,0525	0,0676	0,0732	0,0789	0,0846	0,01329	0,3258	0,1962	1199	1435	1616	1764
60	T-Bunting	1192,5	604,3	646,06	45	4,135	7	2,756	8,27	33,08	1674,3	326,2	2000,5	83,7	16,3	14485	14199	0,0487	0,0644	0,0689	0,0737	0,0789	0,01313	0,3268	0,1958	1231	1482	1676	1830
61	T-Grackle	1192,5	604,07	680,69	54	3,774	19	2,266	11,33	33,97	1681,8	599,7	2281,5	73,7	26,3	18992	18484	0,049	0,0644	0,0689	0,0737	0,0789	0,01376	0,3232	0,1945	1241	1493	1688	1844
62	T-Bittern	1272	644,4	688,96	45	4,27	7	2,847	8,54	34,16	1785,4	348,1	2133,4	83,7	16,3	15450	15145	0,0457	0,0601	0,0643	0,0688	0,0736	0,01356	0,3243	0,1943	1287	1548	1750	1912
63	T-Pheasant	1272	644,75	726,39	54	3,899	19	2,339	11,7	35,09	1795	639	2434	73,7	26,3	19782	19240	0,0459	0,0603	0,0645	0,0672	0,074	0,01421	0,3208	0,193	1295	1558	1784	1921
64	T-Dipper	1351	684,86	732,19	45	4,402	7	2,934	8,8	35,21	1897,5	369,7	2267,2	83,7	16,3	16416	16092	0,043	0,0548	0,0587	0,0628	0,0672	0,01398	0,322	0,1928	1360	1635	1847	2018
65	T-Martin	1351	684,71	771,38	54	4,018	19	2,41	12,05	36,16	1906,3	678,3	2584,6	73,8	26,2	21004	20429	0,0432	0,0548	0,0587	0,0628	0,0672	0,01464	0,3185	0,1916	1371	1648	1861	2033
66	T-Bobolink	1431	724,95	775,09	45	4,529	7	3,02	9,06	36,23	2008,5	391,6	2400,2	83,7	16,3	17383	17039	0,0406	0,0515	0,0553	0,0593	0,0633	0,01438	0,3199	0,1915	1415	1699	1916	2096
67	T-Plover	1431	725,16	817,09	54	4,135	19	2,482	12,41	37,22	2018,9	719,5	2738,4	73,7	26,3	22262	21652	0,0408	0,0518	0,0554	0,0593	0,0635	0,01507	0,3164	0,1902	1423	1712	1931	2108
68	T-Nuthatch	1510	765,19	818,06	45	4,653	7	3,101	9,3	37,22	2120	413	2533	83,7	16,3	18134	17771	0,0385	0,0518	0,0554	0,0593	0,0635	0,01477	0,3179	0,1902	1423	1712	1931	2108
69	T-Parrot	1510	764,98	861,86	54	4,247	19	2,548	12,74	38,22	2129,8	758,2	2888	73,7	26,3	23473	22830	0,0387	0,0491	0,0525	0,0563	0,0611	0,01548	0,3144	0,1889	1473	1773	1999	2165
70	T-Lapwing	1590	805,84	861,54	45	4,775	7	3,183	9,55	38,2	2232,6	435,1	2667,7	83,7	16,3	19100	18718	0,0366	0,0465	0,0501	0,0536	0,0572	0,01516	0,3159	0,1889	1514	1815	2048	2238
71	T-Falcon	1590	805,86	907,98	54	4,359	19	2,616	13,08	39,23	2243,6	799,3	3042,8	73,7	26,3	24735	24057	0,0367	0,0465	0,05	0,0536	0,0572	0,01589	0,3124	0,1877	1526	1832	2065	2255
72	T-Chukar	1780	902,2	975,74	84	3,698	19	2,22	11,1	40,68	2511,8	575,6	3087,4	81,4	18,6	23130	22641	0,0328	0,0421	0,0452	0,0484	0,0516	0,01628	0,3105	0,1859	1622	1949	2199	2402
73	T-Bluebird	2156	1092,31	1181,23	84	4,069	19	2,441	12,21	44,76	3041,1	695,9	3737	81,4	18,6	27334	26744	0,0271	0,0355	0,038	0,0406	0,0432	0,01791	0,3033	0,1814	1818	2189	2474	2707
74	T-Kiwi	2167	1098,27	1145,76	72	4,407	7	2,939	8,82	44,07	3057,7	371	3428,6	89,2	10,8	22581	22256	0,0269	0,0357	0,0382	0,0407	0,0433	0,01738	0,3056	0,1821	1804	2173	2459	2691
75	T-Thrasher	2312	1171,42	1235,24	76	4,43	19	2,068	10,34	45,78	3261,3	499,5	3760,8	86,7	13,3	25667	25243	0,0253	0,0337	0,036	0,0384	0,0408	0,01815	0,3024	0,1803	1879	2265	2563	2806
