57		850	430,96	33	3,851	4	3,851	26,96	1059,7	127,8	1187,6	89,2	10,8	7259	0,0677	0,0839	0,01035	0,3447	0,2056	1022
58		850	430,96	30	3,851	7	3,851	26,96	963,4	223,7	1187,1	81,2	18,8	7871	0,0685	0,0851	0,01035	0,3447	0,2056	1014
59		850	430,96	24	3,851	13	3,851	26,96	770,7	415,5	1186,2	65	35	8699	0,0702	0,0864	0,01035	0,3447	0,2056	1007
60		850	430,96	18	3,851	19	3,851	26,96	578	607,2	1185,2	48,8	51,2	9707	0,0719	0,0882	0,01035	0,3447	0,2056	996
61		900	456,16	33	3,962	4	3,962	27,73	1121,7	135,3	1257	89,2	10,8	7683	0,064	0,0795	0,01065	0,3426	0,2042	1057
62		900	456,16	30	3,962	7	3,962	27,73	1019,7	236,8	1256,5	81,2	18,8	8332	0,0647	0,0802	0,01065	0,3426	0,2042	1053
63		900	456,16	24	3,962	13	3,962	27,73	815,8	439,7	1255,5	65	35	9207	0,0663	0,082	0,01065	0,3426	0,2042	1041
64		900	456,17	18	3,962	19	3,962	27,73	611,8	642,7	1254,6	48,8	51,2	10274	0,068	0,0833	0,01065	0,3426	0,2042	1033
65		950	481,13	33	4,069	4	4,069	28,48	1183,1	142,7	1325,8	89,2	10,8	8104	0,0607	0,0758	0,01093	0,3406	0,203	1090
66		950	481,14	30	4,069	7	4,069	28,48	1075,6	249,8	1325,3	81,2	18,8	8788	0,0614	0,0764	0,01093	0,3406	0,203	1086
67		950	481,14	24	4,069	13	4,069	28,48	860,5	463,8	1324,3	65	35	9711	0,0629	0,0777	0,01093	0,3406	0,203	1077
68		950	481,14	18	4,069	19	4,069	28,48	645,3	677,9	1323,3	48,8	51,2	10837	0,0644	0,0795	0,01093	0,3406	0,203	1064
69		1000	506,78	33	4,176	4	4,176	29,23	1246,2	150,3	1396,5	89,2	10,8	8536	0,0576	0,0721	0,01122	0,3386	0,2017	1126
70		1000	506,78	30	4,176	7	4,176	29,23	1132,9	263,1	1396	81,2	18,8	9256	0,0583	0,0727	0,01122	0,3386	0,2017	1121
71		1000	506,78	24	4,176	13	4,176	29,23	906,3	488,6	1394,9	65	35	10229	0,0597	0,0739	0,01122	0,3386	0,2017	1111
72		1000	506,77	18	4,176	19	4,176	29,23	679,7	714	1393,7	48,8	51,2	11414	0,0612	0,0752	0,01122	0,3386	0,2017	1102
73		1000	506,36	54	3,251	7	3,251	29,26	1235,9	159,4	1395,3	88,6	11,4	8867	0,0577	0,0721	0,0113	0,3381	0,2017	1126
74		1000	506,35	48	3,251	13	3,251	29,26	1098,5	296,1	1394,6	78,8	21,2	9441	0,0585	0,0727	0,0113	0,3381	0,2017	1121
75		1000	506,36	42	3,251	19	3,251	29,26	961,2	432,8	1394	69	31	10191	0,0594	0,0739	0,0113	0,3381	0,2017	1112
76		1000	506,35	33	3,251	28	3,251	29,26	755,2	637,7	1393	54,2	45,8	10963	0,0607	0,0752	0,0113	0,3381	0,2017	1102
77		1100	557,24	33	4,379	4	4,379	30,65	1370,3	165,3	1535,5	89,2	10,8	9385	0,0524	0,0659	0,01177	0,335	0,1994	1192
78		1100	557,24	30	4,379	7	4,379	30,65	1245,7	289,3	1534,9	81,2	18,8	10178	0,053	0,0665	0,01177	0,335	0,1994	1187
