50	Tern	795	402,82	430,65	45	3,376	7	2,25	6,75	27,01	1116	217,4	1333,4	83,7	16,3	9998	9807	0,0717	0,0876	0,01072	0,3421	0,2055	1000
51	Condor	795	402,59	454,78	54	3,081	7	3,081	9,24	27,73	1115,4	407,7	1523,1	73,2	26,8	12761	12403	0,0717	0,087	0,01123	0,3386	0,2042	1011
52	Ruddy	900	456,01	487,55	45	3,592	7	2,395	7,19	28,74	1263,4	246,4	1509,8	83,7	16,3	11103	10887	0,0633	0,0768	0,01141	0,3374	0,2025	1086
53	Canary	900	456	515,11	54	3,279	7	3,279	9,84	29,51	1263,4	461,7	1725,1	73,2	26,8	14453	14048	0,0633	0,0771	0,01195	0,3339	0,2013	1091
54	Rail	954	483,32	516,75	45	3,698	7	2,466	7,4	29,59	1339,1	261,1	1600,2	83,7	16,3	11768	11539	0,0597	0,0733	0,01174	0,3352	0,2011	1120
55	Cardinal	954	483,38	546,04	54	3,376	7	3,376	10,13	30,38	1339,2	489,4	1828,7	73,2	26,8	15321	14892	0,0597	0,0727	0,0123	0,3317	0,1999	1132
56	Ortolan	1033,5	523,33	559,5	45	3,848	7	2,565	7,7	30,78	1449,9	282,5	1732,5	83,7	16,3	12545	12297	0,0552	0,0684	0,01222	0,3322	0,1992	1172
57	Curlew	1033,5	523,41	591,26	54	3,513	7	3,513	10,54	31,62	1450,1	530	1980,1	73,2	26,8	16590	16125	0,0552	0,0671	0,0128	0,3287	0,198	1191
58	Bluejay	1113	564,07	603,09	45	3,995	7	2,664	7,99	31,96	1562,8	304,8	1867,6	83,7	16,3	13526	13258	0,0512	0,0634	0,01269	0,3293	0,1975	1229
59	Finch	1113	564,1	635,6	54	3,647	19	2,189	10,95	32,83	1570,5	559,6	2130,1	73,7	26,3	17729	17254	0,0514	0,0628	0,01329	0,3258	0,1962	1244
60	Bunting	1192,5	604,3	646,06	45	4,135	7	2,756	8,27	33,08	1674,3	326,2	2000,5	83,7	16,3	14485	14199	0,0478	0,0593	0,01313	0,3268	0,1958	1283
61	Grackle	1192,5	604,07	680,69	54	3,774	19	2,266	11,33	33,97	1681,8	599,7	2281,5	73,7	26,3	18992	18483	0,048	0,0588	0,01376	0,3232	0,1945	1299
62	Bittern	1272	644,4	688,96	45	4,27	7	2,847	8,54	34,16	1785,4	348,1	2133,4	83,7	16,3	15450	15145	0,0448	0,0558	0,01356	0,3243	0,1943	1336
63	Pheasant	1272	644,75	726,39	54	3,899	19	2,339	11,7	35,09	1795	639	2434	73,7	26,3	19782	19240	0,045	0,0553	0,01421	0,3208	0,193	1353
64	Dipper	1351	684,86	732,19	45	4,402	7	2,934	8,8	35,21	1897,5	369,7	2267,2	83,7	16,3	16416	16092	0,0422	0,0527	0,01398	0,322	0,1928	1387
65	Martin	1351	684,71	771,38	54	4,018	19	2,41	12,05	36,16	1906,3	678,3	2584,6	73,8	26,2	21004	20429	0,0424	0,0522	0,01464	0,3185	0,1916	1405
66	Bobolink	1431	724,95	775,09	45	4,529	7	3,02	9,06	36,23	2008,5	391,6	2400,2	83,7	16,3	17382	17039	0,0398	0,05	0,01438	0,3199	0,1915	1437
67	Plover	1431	725,16	817,09	54	4,135	19	2,482	12,41	37,22	2018,9	719,5	2738,4	73,7	26,3	22262	21652	0,04	0,0495	0,01507	0,3164	0,1902	1456
68	Nuthatch	1510	765,19	818,06	45	4,653	7	3,101	9,3	37,22	2120	413	2533	83,7	16,3	18134	17771	0,0377	0,0475	0,01477	0,3179	0,1902	1485
69	Parrot	1510	764,98	861,86	54	4,247	19	2,548	12,74	38,22	2129,8	758,2	2888	73,7	26,3	23473	22829	0,0379	0,047	0,01548	0,3144	0,1889	1505
70	Lapwing	1590	805,84	861,54	45	4,775	7	3,183	9,55	38,2	2232,6	435,1	2667,7	83,7	16,3	19100	18718	0,0358	0,0453	0,01516	0,3159	0,1889	1534
71	Falcon	1590	805,86	907,98	54	4,359	19	2,616	13,08	39,23	2243,6	799,3	3042,8	73,7	26,3	24735	24057	0,036	0,0448	0,01589	0,3124	0,1877	1555
72	Chukar	1780	902,2	975,74	84	3,698	19	2,22	11,1	40,68	2511,8	575,6	3087,4	81,4	18,6	23129	22641	0,0322	0,0409	0,01628	0,3105	0,1859	1645
73	Bluebird	2156	1092,31	1181,23	84	4,069	19	2,441	12,21	44,76	3041,1	695,9	3737	81,4	18,6	27334	26744	0,0266	0,0345	0,01791	0,3033	0,1814	1844
74	Kiwi	2167	1098,27	1145,76	72	4,407	7	2,939	8,82	44,07	3057,7	371	3428,6	89,2	10,8	22581	22256	0,0264	0,0349	0,01738	0,3056	0,1821	1824
75	Thrasher	2312	1171,42	1235,24	76	4,43	19	2,068	10,34	45,78	3261,3	499,5	3760,8	86,7	13,3	25667	25243	0,0248	0,0327	0,01815	0,3024	0,1803	1906
