// [cabo][bitola][bitola][fases]	r1	x1	r2	x2	r0	x0	Cabo1	Cabo2	Cabo3	Nominal	Emergencia
6043	0,2924	0,133	0,2924	0,133	0,8772	0,399	3F - Cabo Isolado de Alumfnio 250 MCM - 15 kV	3#RDI250MCM	Cabo de Alumínio Isol 250MCM - 15 kV	243	243
6051	0,2094	0,124	0,2094	0,124	0,6282	0,372	1F - Cabo Isolado de Alumfnio 350 MCM - 15 kV	1#RDI350MCM	Cabo de Alumínio Isol 350MCM - 15 kV	293	293
6052	0,2094	0,124	0,2094	0,124	0,6282	0,372	2F - Cabo Isolado de Alumfnio 350 MCM - 15 kV	2#RDI350MCM	Cabo de Alumínio Isol 350MCM - 15 kV	293	293
6053	0,2094	0,124	0,2094	0,124	0,6282	0,372	3F - Cabo Isolado de Alumfnio 350 MCM - 15 kV	3#RDI350MCM	Cabo de Alumínio Isol 350MCM - 15 kV	293	293
6061	0,3453	0,139	0,3453	0,139	1,0359	0,417	1F - Cabo Isolado de Alumfnio  4/0 AWG -107,20mm2-15kV	1#RDI4/0AWG	Cabo de Alumínio Isol 4/0AWG -107,20mm - 15kV	222	222
6062	0,3453	0,139	0,3453	0,139	1,0359	0,417	2F - Cabo Isolado de Alumfnio  4/0 AWG -107,20mm2-15kV	2#RDI4/0AWG	Cabo de Alumínio Isol 4/0AWG -107,20mm - 15kV	222	222
6063	0,3453	0,139	0,3453	0,139	1,0359	0,417	3F - Cabo Isolado de Alumfnio  4/0 AWG -107,20mm2-15kV	3#RDI4/0AWG	Cabo de Alumínio Isol 4/0AWG -107,20mm - 15kV	222	222
6071	0,1474	0,119	0,1474	0,119	0,4422	0,357	1F - Cabo Isolado de Alumfnio 500 MCM - 15 kV	1#RDI500MCM	Cabo de Alumínio Isol 500MCM - 15 kV	356	356
6072	0,1474	0,119	0,1474	0,119	0,4422	0,357	2F - Cabo Isolado de Alumfnio 500 MCM - 15 kV	2#RDI500MCM	Cabo de Alumínio Isol 500MCM - 15 kV	356	356
6073	0,1474	0,119	0,1474	0,119	0,4422	0,357	3F - Cabo Isolado de Alumfnio 500 MCM - 15 kV	3#RDI500MCM	Cabo de Alumínio Isol 500MCM - 15 kV	356	356
6081	0,0996	0,112	0,0996	0,112	0,2988	0,336	1F - Cabo Isolado de Alumfnio 750 MCM - 15 kV	1#RDI750MCM	Cabo de Alumínio Isol 750MCM - 15 kV	439	439
6082	0,0996	0,112	0,0996	0,112	0,2988	0,336	2F - Cabo Isolado de Alumfnio 750 MCM - 15 kV	2#RDI750MCM	Cabo de Alumínio Isol 750MCM - 15 kV	439	439
6083	0,0996	0,112	0,0996	0,112	0,2988	0,336	3F - Cabo Isolado de Alumfnio 750 MCM - 15 kV	3#RDI750MCM	Cabo de Alumínio Isol 750MCM - 15 kV	439	439
6091	0,8054	0,1612	0,8054	0,1612	2,4162	0,4836	1F - Cabo Isolado de Alumfnio 50 mm2 - 15kV	1#RDI50mm2	Cabo de Alumínio Isol 50mm - 15kV	141	141
6092	0,8054	0,1612	0,8054	0,1612	2,4162	0,4836	2F - Cabo Isolado de Alumfnio 50 mm2 - 15kV	2#RDI50mm2	Cabo de Alumínio Isol 50mm - 15kV	141	141
6093	0,8054	0,1612	0,8054	0,1612	2,4162	0,4836	3F - Cabo Isolado de Alumfnio 50 mm2 - 15kV	3#RDI50mm2	Cabo de Alumínio Isol 50mm - 15kV	141	141
6101	0,3186	0,1409	0,3186	0,1409	0,9558	0,4227	1F - Cabo Isolado de Alumfnio 120 mm2 - 15kV	1#RDI120mm2	Cabo de Alumínio Isol 120mm - 15kV	238	238
6102	0,3186	0,1409	0,3186	0,1409	0,9558	0,4227	2F - Cabo Isolado de Alumfnio 120 mm2 - 15kV	2#RDI120mm2	Cabo de Alumínio Isol 120mm - 15kV	238	238
6103	0,3186	0,1409	0,3186	0,1409	0,9558	0,4227	3F - Cabo Isolado de Alumfnio 120 mm2 - 15kV	3#RDI120mm2	Cabo de Alumínio Isol 120mm - 15kV	238	238
6111	0,1004	0,1201	0,1004	0,1201	0,3012	0,3603	1F - Cabo Isolado de Alumfnio 400 mm2 - 15kV	1#RDI400mm2	Cabo de Alumínio Isol 400mm - 15kV	457	457
6112	0,1004	0,1201	0,1004	0,1201	0,3012	0,3603	2F - Cabo Isolado de Alumfnio 400 mm2 - 15kV	2#RDI400mm2	Cabo de Alumínio Isol 400mm - 15kV	457	457
6113	0,1004	0,1201	0,1004	0,1201	0,3012	0,3603	3F - Cabo Isolado de Alumfnio 400 mm2 - 15kV	3#RDI400mm2	Cabo de Alumínio Isol 400mm - 15kV	457	457
9011	1,0081	0,17	1,0081	0,17	3,0243	0,51	1F - Cabo Multiplexado CA/CAL-Isol XLPE 35 mm2 - 15 kV	1#ISL35mm2	Cabo Multiplexado CA/CAL-Isol XLPE 35mm - 15 kV	120	120
9012	1,0081	0,17	1,0081	0,17	3,0243	0,51	2F - Cabo Multiplexado CA/CAL-Isol XLPE 35 mm2 - 15 kV	2#ISL35mm2	Cabo Multiplexado CA/CAL-Isol XLPE 35mm - 15 kV	120	120
9013	1,0081	0,17	1,0081	0,17	3,0243	0,51	3F - Cabo Multiplexado CA/CAL-Isol XLPE 35 mm2 - 15 kV	3#ISL35mm2	Cabo Multiplexado CA/CAL-Isol XLPE 35mm - 15 kV	120	120
9021	0,822	0,146	0,822	0,146	2,466	0,438	1F - Cabo Multiplexado CA/CAL-Isol XLPE 50 mm2 - 15 kV	1#ISL50mm2	Cabo Multiplexado CA/CAL Isol XLPE 50mm - 15 kV	175	175
9022	0,822	0,146	0,822	0,146	2,466	0,438	2F - Cabo Multiplexado CA/CAL-Isol XLPE 50 mm2 - 15 kV	2#ISL50mm2	Cabo Multiplexado CA/CAL Isol XLPE 50mm - 15 kV	175	175
9023	0,822	0,146	0,822	0,146	2,466	0,438	3F - Cabo Multiplexado CA/CAL-Isol XLPE 50 mm2 - 15 kV	3#ISL50mm2	Cabo Multiplexado CA/CAL Isol XLPE 50mm - 15 kV	175	175
9031	0,5147	0,15	0,5147	0,15	1,5441	0,45	1F - Cabo Multiplexado CA/CAL Isol XLPE 70 mm2 - 15kV	1#ISL70mm2	Cabo Multiplexado CA/CAL Isol XLPE 70mm - 15kV	180	180
9032	0,5147	0,15	0,5147	0,15	1,5441	0,45	2F - Cabo Multiplexado CA/CAL Isol XLPE 70 mm2 - 15kV	2#ISL70mm2	Cabo Multiplexado CA/CAL Isol XLPE 70mm - 15kV	180	180
9033	0,5147	0,15	0,5147	0,15	1,5441	0,45	3F - Cabo Multiplexado CA/CAL Isol XLPE 70 mm2 - 15kV	3#ISL70mm2	Cabo Multiplexado CA/CAL Isol XLPE 70mm - 15kV	180	180
9041	0,325	0,117	0,325	0,117	0,975	0,351	1F - Cabo Mutiplexado CA/CAL-Isol XLPE 120 mm2 -15kV	1#ISL120mm2	Cabo Multiplexado CA/CAL Isol XLPE 120mm -15kV	295	295
9042	0,325	0,117	0,325	0,117	0,975	0,351	2F - Cabo Mutiplexado CA/CAL-Isol XLPE 120 mm2 -15kV	2#ISL120mm2	Cabo Multiplexado CA/CAL Isol XLPE 120mm -15kV	295	295
9043	0,325	0,117	0,325	0,117	0,975	0,351	3F - Cabo Mutiplexado CA/CAL-Isol XLPE 120 mm2 -15kV	3#ISL120mm2	Cabo Multiplexado CA/CAL Isol XLPE 120mm -15kV	295	295
9051	0,2399	0,14	0,2399	0,14	0,7197	0,42	1F - Cabo Multiplexado CA/CAL Isol XLPE 150mm2 - 15kV	1#ISL150mm2	Cabo Multiplexado CA/CAL Isol XLPE 150mm - 15kV	425	425
9052	0,2399	0,14	0,2399	0,14	0,7197	0,42	2F - Cabo Multiplexado CA/CAL Isol XLPE 150mm2 - 15kV	2#ISL150mm2	Cabo Multiplexado CA/CAL Isol XLPE 150mm - 15kV	425	425
9053	0,2399	0,14	0,2399	0,14	0,7197	0,42	3F - Cabo Multiplexado CA/CAL Isol XLPE 150mm2 - 15kV	3#ISL150mm2	Cabo Multiplexado CA/CAL Isol XLPE 150mm - 15kV	425	425
9061	0,1464	0,13	0,1464	0,13	0,4392	0,39	1F - Cabo Multiplexado CA/CAL Isol XLPE 240mm2 - 15kV	1#ISL240mm2	Cabo Multiplexado CA/CAL Isol XLPE 240mm - 15kV	425	425
9062	0,1464	0,13	0,1464	0,13	0,4392	0,39	2F - Cabo Multiplexado CA/CAL Isol XLPE 240mm2 - 15kV	2#ISL240mm2	Cabo Multiplexado CA/CAL Isol XLPE 240mm - 15kV	425	425
9063	0,1464	0,13	0,1464	0,13	0,4392	0,39	3F - Cabo Multiplexado CA/CAL Isol XLPE 240mm2 - 15kV	3#ISL240mm2	Cabo Multiplexado CA/CAL Isol XLPE 240mm - 15kV	425	425
9071	0,211	0,106	0,211	0,106	0,633	0,318	1F - Cabo Multiplexado CA/CAL Isol XLPE 185mm2 - 15kV	1#ISL185mm2	Cabo Multiplexado CA/CAL Isol XLPE 185mm - 15kV	386	386
9072	0,211	0,106	0,211	0,106	0,633	0,318	2F - Cabo Multiplexado CA/CAL Isol XLPE 185mm2 - 15kV	2#ISL185mm2	Cabo Multiplexado CA/CAL Isol XLPE 185mm - 15kV	386	386
9073	0,211	0,106	0,211	0,106	0,633	0,318	3F - Cabo Multiplexado CA/CAL Isol XLPE 185mm2 - 15kV	3#ISL185mm2	Cabo Multiplexado CA/CAL Isol XLPE 185mm - 15kV	386	386
A011	1,0161	0,4679	1,0161	0,4679	3,0483	1,4037	1F - Cabo Protegido XLPE 2 AWG  - 33,63 mm2 -  15 kV	1#RDP2AWG	Cabo Protegido XLPE 2AWG - 33,63mm - 15 kV	150	150
A012	1,0161	0,4679	1,0161	0,4679	3,0483	1,4037	2F - Cabo Protegido XLPE 2 AWG  - 33,63 mm2 -  15 kV	2#RDP2AWG	Cabo Protegido XLPE 2AWG - 33,63mm - 15 kV	150	150
